time_utc,time_excel,latitude_decimal,longitude_decimal,elevation_meters
2025-05-10T12:48:56Z,45787.53398148148,37.54314,-88.98327,161.3506879999887
2025-05-10T12:49:16Z,45787.534212962964,37.54318,-88.98324,162.8894720000329
2025-05-10T12:49:26Z,45787.53433,37.5432,-88.98328,163.1561600000199
2025-05-10T12:50:36Z,45787.53513888889,37.54343,-88.98343,170.81268800003517
2025-05-10T12:51:06Z,45787.53548611111,37.54326,-88.98305,166.93855999984893
2025-05-10T12:51:16Z,45787.53560185185,37.54336,-88.98294,170.94406399999986
2025-05-10T12:51:26Z,45787.53571759259,37.54324,-88.98291,167.71212799989397
2025-05-10T12:51:36Z,45787.535833333335,37.5433,-88.98265,171.36559999997837
2025-05-10T12:51:46Z,45787.535949074074,37.54326,-88.9826,171.2028799998989
2025-05-10T12:51:51Z,45787.53600694444,37.54334,-88.98249,173.23654400002488
2025-05-10T12:51:55Z,45787.53605324074,37.54338,-88.9824,174.65407999998942
2025-05-10T12:52:00Z,45787.53611111111,37.54339,-88.98234,175.10998400006568
2025-05-10T12:52:04Z,45787.536157407405,37.54324,-88.98263,170.58425599995323
2025-05-10T12:52:09Z,45787.536215277774,37.54321,-88.98269,169.3889119999738
2025-05-10T12:52:14Z,45787.53627314815,37.54322,-88.98262,170.3832320000021
2025-05-10T12:52:18Z,45787.53631944444,37.54323,-88.98255,171.32311999997728
2025-05-10T12:52:23Z,45787.53637731481,37.54323,-88.98246,172.0648639999994
2025-05-10T12:52:28Z,45787.53643518518,37.54321,-88.98242,171.9882560000064
2025-05-10T12:52:33Z,45787.53649305556,37.54319,-88.98232,172.0792640000377
2025-05-10T12:52:38Z,45787.53655092593,37.54318,-88.98228,172.05363199998368
2025-05-10T12:52:43Z,45787.53661,37.5432,-88.98221,172.44511999991414
2025-05-10T12:52:47Z,45787.53665509259,37.54323,-88.98214,172.06611200003465
2025-05-10T12:52:52Z,45787.53671296296,37.54324,-88.98209,171.57593599994863
2025-05-10T12:53:19Z,45787.53702546296,37.54328,-88.98237,173.18028800002327
2025-05-10T12:53:26Z,45787.53710648148,37.54326,-88.98236,172.94988799995082
2025-05-10T12:53:31Z,45787.53716435185,37.54326,-88.98231,173.21484799995517
2025-05-10T12:54:49Z,45787.53806712963,37.54323,-88.98215,172.19672000007625
2025-05-10T12:54:53Z,45787.53811342592,37.54322,-88.98208,171.1208959999198
2025-05-10T12:54:58Z,45787.53817,37.5432,-88.98201,169.9107200000132
2025-05-10T12:55:22Z,45787.538449074076,37.54308,-88.98171,166.35945600005633
2025-05-10T12:55:41Z,45787.538668981484,37.5431,-88.98152,165.26400000004242
2025-05-10T12:55:46Z,45787.53872685185,37.54305,-88.98147,164.5464800000173
2025-05-10T12:55:51Z,45787.53878472222,37.54301,-88.9814,163.89631999997525
2025-05-10T12:56:22Z,45787.539143518516,37.54316,-88.98191,168.28675199999896
2025-05-10T12:56:33Z,45787.53927083333,37.54312,-88.98186,167.48294400000916
2025-05-10T12:56:37Z,45787.53931712963,37.5431,-88.98182,167.04864000002456
2025-05-10T12:56:42Z,45787.53938,37.54311,-88.98176,166.8597119999579
2025-05-10T12:56:49Z,45787.539456018516,37.54309,-88.98175,166.62240000001825
2025-05-10T12:56:53Z,45787.539502314816,37.54309,-88.98168,166.30790399998327
2025-05-10T12:57:41Z,45787.54005787037,37.54266,-88.97928,160.63897600005944
2025-05-10T12:57:50Z,45787.54016203704,37.54269,-88.97895,159.08703999999062
2025-05-10T12:57:55Z,45787.54021990741,37.5427,-88.97886,158.91487999997045
2025-05-10T12:58:00Z,45787.54027777778,37.5427,-88.9788,159.07039999994885
2025-05-10T12:58:05Z,45787.54033564815,37.54269,-88.97873,159.33924800000034
2025-05-10T12:58:09Z,45787.54038194445,37.5427,-88.97868,159.38143999997934
2025-05-10T12:58:14Z,45787.54043981482,37.54271,-88.97862,159.46380799998542
2025-05-10T12:58:19Z,45787.540497685186,37.54265,-88.97855,159.8187999999854
2025-05-10T12:58:23Z,45787.54054398148,37.54265,-88.97848,159.70287999999738
2025-05-10T12:58:28Z,45787.540601851855,37.54266,-88.97841,159.54102400000446
2025-05-10T12:58:33Z,45787.540659722225,37.54268,-88.97835,159.37312000001862
2025-05-10T12:58:38Z,45787.540717592594,37.54268,-88.97831,159.40643200002495
2025-05-10T12:58:43Z,45787.54077546296,37.54269,-88.97826,159.49657599998466
2025-05-10T12:58:48Z,45787.54083333333,37.54268,-88.97824,159.5697280000079
2025-05-10T12:58:53Z,45787.54089,37.54266,-88.97818,159.7419520000143
2025-05-10T12:58:58Z,45787.54094907407,37.54262,-88.97814,159.86867200000648
2025-05-10T12:59:03Z,45787.54100694445,37.54259,-88.97807,159.98315199999772
2025-05-10T12:59:08Z,45787.54106481482,37.54257,-88.978,159.94959999999654
2025-05-10T12:59:13Z,45787.54112268519,37.54257,-88.97793,159.8860960000042
2025-05-10T12:59:17Z,45787.54116898148,37.54251,-88.97785,159.97336000000044
2025-05-10T12:59:22Z,45787.54122685185,37.54246,-88.97784,160.52876800002164
2025-05-10T12:59:26Z,45787.54127314815,37.54244,-88.97786,160.83980800002792
2025-05-10T12:59:31Z,45787.54133101852,37.5424,-88.97786,161.39968000001736
2025-05-10T12:59:36Z,45787.54138888889,37.54237,-88.97788,161.92067200002032
2025-05-10T12:59:56Z,45787.54162037037,37.54239,-88.97785,161.49688000004988
2025-05-10T13:00:20Z,45787.54189814815,37.54239,-88.97757,162.07662400004727
2025-05-10T13:00:25Z,45787.54195601852,37.54237,-88.97753,162.65636800002736
2025-05-10T13:01:12Z,45787.5425,37.54227,-88.97744,164.6103039999678
2025-05-10T13:01:26Z,45787.542662037034,37.54225,-88.97743,164.94639999993413
2025-05-10T13:01:34Z,45787.54275462963,37.54223,-88.97741,165.20214399997448
2025-05-10T13:01:44Z,45787.54287037037,37.54224,-88.97739,164.87468800000624
2025-05-10T13:01:49Z,45787.54292824074,37.54225,-88.97731,164.16879999997215
2025-05-10T13:01:54Z,45787.54298611111,37.54226,-88.97729,163.87763199999637
2025-05-10T13:02:11Z,45787.54318287037,37.54219,-88.97718,164.6600000000658
2025-05-10T13:02:15Z,45787.543229166666,37.54222,-88.97716,163.83199999998283
2025-05-10T13:02:21Z,45787.54329861111,37.54222,-88.9771,163.61599999996542
2025-05-10T13:02:46Z,45787.543587962966,37.54204,-88.97686,167.7914239999931
2025-05-10T13:03:48Z,45787.54430555556,37.54193,-88.97682,171.62611199993037
2025-05-10T13:03:53Z,45787.54436342593,37.54194,-88.97679,170.91331200028105
2025-05-10T13:03:58Z,45787.54442,37.54193,-88.97684,171.5653439999537
